"Asset values (in millions of dollars), by industries and asset types",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industries/Asset types,Computers and peripheral equipment,Communication equipment,Nonelectronic medical instruments,Electronic medical instruments,Nonmedical instruments,Photocopy and related equipment,Office and accounting equipment,Nuclear fuel,Other fabricated metal products,Steam engines,Internal combustion engines,Metalworking machinery,"Special industrial machinery, n.e.c.",General industrial equipment,"Electric transmission, distribution and industrial apparatus",Light trucks (including utility vehicles),"Other trucks, buses, and truck trailers",Autos,Aircraft,Ships and boats,Railroad equipment,Household furniture,Other furniture and fixtures,Other agricultural machinery,Farm tractors,Other construction machinery,Construction tractors,Mining and oilfield machinery,Service industry machinery,Household appliances,"Other electrical equipment, n.e.c",Other nonresidential equipment,Office and medical buildings,Hospitals and special care facilities,Warehouses,Mobile structures,Other commercial buildings,Manufacturing buildings,Regulated electric power structures,Unregulated electric power structures,Regulated wind and solar power structures,Unregulated wind and solar power structures,Gas power structures,Petroleum pipelines,Communication structures,Depreciable petroleum and natural gas structures,Depreciable mining structures,Religious buildings,Educational and vocational buildings,Lodging buildings,Amusement and recreation buildings,Track replacement,Other railroad structures,Other transportation structures,Farm buildings,Water supply and sewer and waste disposal facilities,"Public safety, highways, conservation, and development",Oil and gas exploration (geological and geophysical)--integrated,Oil and gas exploration (geological and geophysical)--independent,Oil and gas development (intangible drilling costs)--integrated,Oil and gas development (intangible drilling costs)--independent,Other mineral exploration--C corps,Other mineral exploration--pass-throughs,Other mineral development--C corps,Other mineral development--pass-throughs,Prepackaged software,Custom software,Credit-eligible own account software,Other own-account software,Credit-eligible research and development,Other research and development,Theatrical movies,Long-lived television programs,Books,Music,Other entertainment originals,Reserved for non-BEA intangibles,Reserved for non-BEA intangibles,Residential equipment,Residential buildings,Inventories,Land,Reserved for non-BEA natural resources,Reserved for non-BEA natural resources,Reserved for non-BEA natural resources
Wholesale_Durable_Goods,11468,8646,2954,775,1814,1995,293,0,4527,227,27,10044,7014,28897,3300,32076,7880,3762,3240,212,414,4155,5376,2593,63,10491,2035,695,2602,358,172,21311,90743,0,100366,6,50030,40087,0,6,0,143,117,78,780,0,0,0,0,6048,19,0,0,274,0,55,500,0,0,0,0,0,0,0,0,9791,15850,6499,2211,28536,9710,0,0,0,0,0,0,0,0,0,628528,112914,0,0,0
Wholesale_Nondurable_Goods,5101,2493,546,132,3593,595,106,0,8372,21,686,604,305,28127,662,8984,11760,617,1846,361,0,0,6596,0,6028,523,22,313,5786,8,379,12330,51363,0,136716,6,36207,34888,0,80,0,167,2510,1193,294,0,0,0,0,0,3,0,0,342,0,33,230,0,0,0,0,0,0,0,0,5451,8806,2680,916,16635,5683,0,0,0,0,0,0,0,0,0,470236,137983,0,0,0
Motor_Vehicle_and_Parts_Dealers,1342,1365,0,7,1878,53,127,0,301,2,3,165,1698,3505,205,10920,642,1722,403,802,0,0,5610,0,41,970,31,0,1373,0,560,4531,10458,0,40609,43,203427,4197,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,258,0,75,148,0,0,0,0,0,0,0,0,876,1384,10,4,6086,2062,0,0,0,0,0,0,0,0,0,288025,147514,0,0,0
Food_and_Beverage_Stores,2669,1220,32,0,82,139,90,0,1720,0,2,3,4156,30084,565,923,447,113,155,0,0,11,11432,0,63,76,11,0,10312,211,145,6924,4062,0,26174,18,244474,117,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2528,34,79,0,0,0,0,0,0,0,0,2130,3264,0,0,7989,2713,0,0,0,0,0,0,0,0,0,71693,197596,0,0,0
General_Merchandise_Stores,8008,9878,88,0,10,28,4,0,714,0,1,13,2293,14480,498,545,340,56,4192,0,0,0,17847,0,0,70,3,0,550,123,409,14253,8377,0,62125,0,236955,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,56,121,0,0,0,0,0,0,0,0,8669,1565,19,7,9050,3067,0,0,0,0,0,0,0,0,0,107689,388395,0,0,0
Other_Retail,14012,41312,4732,5,807,3522,4243,0,5000,78,40,608,4094,38215,1200,13678,6228,1197,1049,555,34,975,79082,0,1696,2519,102,1007,20480,27,917,38838,37430,3,108036,106,590799,20931,0,25,0,8898,624,230,406,0,0,0,544,5174,18170,0,0,633,671,219,951,0,0,0,0,0,0,0,0,15607,12716,5184,1937,25849,9657,0,0,0,0,0,0,0,0,0,369286,508740,0,0,0
Air_Transportation,821,1175,4,0,445,10,0,0,219,0,33,42,9,1148,773,21,412,26,215163,0,0,0,374,0,0,11,1,0,292,0,9,8674,10722,0,18292,0,2912,95,0,0,0,0,0,0,0,0,0,0,43,0,14,0,0,71890,0,1120,2515,0,0,0,0,0,0,0,0,659,1186,191,158,575,475,0,0,0,0,0,0,0,0,0,11308,3343,0,0,0
Rail_Transportation,201,639,0,0,11,10,0,0,147,0,7,231,7,638,1287,375,117,40,0,49,57736,0,147,0,0,93,12,53,43,0,4,1880,1400,0,420,0,170,657,0,15,0,366,0,0,2290,0,0,0,0,0,4,271763,165704,0,0,0,437,0,0,0,0,0,0,0,0,642,1026,105,87,534,445,0,0,0,0,0,0,0,0,0,3815,32341,0,0,0
Water_Transportation,115,278,0,0,333,10,1,0,418,0,29,1,3,247,95,167,52,35,493,53752,0,0,123,0,207,36,4,97,22,0,0,615,730,0,489,0,161,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8719,0,0,2012,0,0,0,0,0,0,0,0,1557,2545,15,14,108,96,0,0,0,0,0,0,0,0,0,1162,2772,0,0,0
Truck_Transportation,759,1674,15,1,1569,122,34,0,770,331,102,2016,53,3557,593,5330,121109,324,641,147,302,0,1022,0,88,3625,331,448,779,0,331,6785,4566,0,9020,76,4569,17693,0,0,0,0,340,209,0,0,0,0,0,251,0,0,0,7488,0,87,154,0,0,0,0,0,0,0,0,874,1410,180,162,372,335,0,0,0,0,0,0,0,0,0,4018,47609,0,0,0
