Acceleration factor,Default value for industry,Computers and peripheral equipment,Communication equipment,Nonelectronic medical instruments,Electronic medical instruments,Nonmedical instruments,Photocopy and related equipment,Office and accounting equipment,Nuclear fuel,Other fabricated metal products,Steam engines,Internal combustion engines,Metalworking machinery,"Special industrial machinery, n.e.c.",General industrial equipment,"Electric transmission, distribution and industrial apparatus",Light trucks (including utility vehicles),"Other trucks, buses, and truck trailers",Autos,Aircraft,Ships and boats,Railroad equipment,Household furniture,Other furniture and fixtures,Other agricultural machinery,Farm tractors,Other construction machinery,Construction tractors,Mining and oilfield machinery,Service industry machinery,Household appliances,"Other electrical equipment, n.e.c",Other nonresidential equipment,Office and medical buildings,Hospitals and special care facilities,Warehouses,Mobile structures,Other commercial buildings,Manufacturing buildings,Regulated electric power structures,Unregulated electric power structures,Regulated wind and solar power structures,Unregulated wind and solar power structures,Gas power structures,Petroleum pipelines,Communication structures,Depreciable petroleum and natural gas structures,Depreciable mining structures,Religious buildings,Educational and vocational buildings,Lodging buildings,Amusement and recreation buildings,Track replacement,Other railroad structures,Other transportation structures,Farm buildings,Water supply and sewer and waste disposal facilities,"Public safety, highways, conservation, and development",Oil and gas exploration (geological and geophysical)--integrated,Oil and gas exploration (geological and geophysical)--independent,Oil and gas development (intangible drilling costs)--integrated,Oil and gas development (intangible drilling costs)--independent,Other mineral exploration--C corps,Other mineral exploration--pass-throughs,Other mineral development--C corps,Other mineral development--pass-throughs,Prepackaged software,Custom software,Credit-eligible own account software,Other own-account software,Credit-eligible research and development,Other research and development,Theatrical movies,Long-lived television programs,Books,Music,Other entertainment originals,Reserved for non-BEA intangibles,Reserved for non-BEA intangibles,Residential equipment,Residential buildings,Inventories,Land,Reserved for non-BEA natural resources,Reserved for non-BEA natural resources,Reserved for non-BEA natural resources
Nondepository_Credit_Intermediation,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
"Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities",2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Insurance_Carriers,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Insurance_Agencies_and_Brokers_and_Related_Services,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
"Funds,_Trusts,_and_Other_Financial_Vehicles_",2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Real_Estate,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Rental_and_Leasing_(Including_Nonfinancial_Intangibles),2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Legal_Services,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Computer_Systems_Design_and_Related_Services,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
"Other_Professional,_Scientific,_and_Technical_Services",2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Management_Of_Companies_and_Enterprises,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Administrative_and_Support_Services,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Waste_Management_and_Remediation_Services,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Educational_Services,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Ambulatory_Health_Care_Services,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Hospitals,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Nursing_and_Residential_Care_Facilities,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Social_Assistance,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
"Independent_Artists,_Writers,_and_Performers",2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
"Other_Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities",2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Amusement_Parks,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,2.00,2.00,1.50,1.00,1.50,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Gambling_and_Bowling,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Other_Recreation_Services,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Accomodation,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Food_Services_and_Drinking_Places,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Other_Services_(Except_Public_Administration),2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Owner-occupied_Housing,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00
